Word,TF-IDF Score
today,658.5359527613842
great,455.28018188996117
house,396.3703887612499
thank,378.72696773687437
thanks,301.96379883877296
week,283.5691252279428
hearing,269.41702957764994
work,258.26767621503564
happy,258.0738769827811
time,256.7998118794813
morning,249.41411126320313
live,246.19930601894245
american,236.41322536714966
congress,227.5108262239328
discuss,215.77744035822434
support,214.0711717425604
president,212.87865981726551
americans,210.25429028988071
national,208.96287613551212
taxreform,208.89695238689688
people,207.78003251951827
news,206.6585921080947
year,205.40888144142744
watch,204.72757653820332
honor,203.82548499612878
jobs,202.20230199967176
reform,201.5374573159711
potus,200.49758818752665
america,198.77838267464642
meeting,196.06365019110152
good,194.84080914613102
passed,193.64802111118945
chairman,191.19184811261627
help,189.5865139237952
proud,188.89496014508197
tune,188.36637788492382
join,187.22407376682492
committee,180.60389972228688
state,176.76733325455112
nation,172.239068523178
bipartisan,171.63509653578728
taxcutsandjobsact,166.242113008872
family,165.62483503666232
families,165.139377207002
important,165.01083559533117
students,164.64396453583947
country,161.8539017174958
school,161.6059718956498
read,161.5693553997128
service,161.5048185354216
years,161.4041785872192
members,159.57429953528174
working,158.54334655644365
need,156.39977081416865
office,155.62318607894505
congressional,155.344441343277
women,154.15231012914964
legislation,153.80024608728056
yesterday,151.9151417139705
veterans,151.78654143756503
icymi,151.63027956756352
military,147.86826002304292
small,147.79652406855638
government,144.92353468001323
statement,144.64323746991082
speakerryan,143.77687642182906
forward,142.77230760810988
make,142.12415696887564
housegop,140.2577874102488
cuts,139.33972814812338
realdonaldtrump,137.12319300443355
like,135.84098778683696
economy,135.58229651020056
vote,134.90765813759091
businesses,134.45887508359186
budget,134.44376851762897
community,132.29793298569984
visit,131.75245557480994
trump,131.56685159147239
washington,131.14285974963929
federal,130.38920260109333
2018,130.22130602081052
congratulations,130.1500155202525
tonight,127.99123743743353
county,127.26783533799733
funding,126.98239725820552
talk,123.0759288247271
high,122.321911889277
health,121.64765530116816
code,121.58692117940184
meet,121.09342211843264
business,120.74264986239069
right,120.04655874964509
senate,119.81639104754352
subcommittee,118.9935296288432
learn,118.35945168205252
know,116.68035806747528
security,116.29883449374933
local,113.68204701665397
million,113.50062913110972
opportunity,112.41544777785046
tomorrow,112.04150594917644
joined,111.32564140140363
foxnews,110.97113152117642
honored,110.48830423514762
protect,110.35908925886746
district,110.25333065159491
hear,109.53841439575005
bills,107.8511731305888
look,107.40195685641527
rep,107.06854790483908
birthday,105.17617244326364
voted,104.84383442611006
housecommerce,104.15648092597007
enjoyed,104.138983689741
life,102.94832031294644
benefits,101.63157483942115
joining,100.07189556078124
congressman,100.01131243323964
continue,99.96226934670307
home,98.62785572353263
states,98.62476918665644
floor,98.44370406409871
looking,98.172032763336
stop,97.74100944800038
lives,96.78769294257926
opioid,96.01396150633941
north,95.15570700994165
friend,95.09019266814549
check,94.29217604021025
night,94.2086639784292
care,93.99420784123208
leadership,92.56046009941757
celebrate,92.48153783420261
waysandmeansgop,91.03822405469211
world,90.9888171480685
capitol,90.41446960038829
employees,89.79083056441094
communities,89.57975909862623
colleagues,89.5231483839934
safe,89.10980590621541
glad,88.90593878512554
coming,88.48647955999334
want,87.93242926100163
